MPID_不明: Outrealmer
MPID_デフォルト名: Corrin
MPID_ギュンター: Gunter
MPID_フェリシア: Felicia
MPID_ジョーカー: Jakob
MPID_リンカ: Rinkah
MPID_スズカゼ: Kaze
MPID_サクラ: Sakura
MPID_アクア: Azura
MPID_カザハナ: Hana
MPID_ツバキ: Subaki
MPID_サイラス: Silas
MPID_サイゾウ: Saizo
MPID_オロチ: Orochi
MPID_ヒノカ: Hinoka
MPID_アサマ: Azama
MPID_セツナ: Setsuna
MPID_ツクヨミ: Hayato
MPID_オボロ: Oboro
MPID_ヒナタ: Hinata
MPID_タクミ: Takumi
MPID_カゲロウ: Kagero
MPID_ユウギリ: Reina
MPID_ニシキ: Kaden
MPID_リョウマ: Ryoma
MPID_クリムゾン: Scarlet
MPID_アシュラ: Shura
MPID_エリーゼ: Elise
MPID_ハロルド: Arthur
MPID_エルフィ: Effie
MPID_オーディン: Odin
MPID_ゼロ: Niles
MPID_ニュクス: Nyx
MPID_カミラ: Camilla
MPID_ルーナ: Selena
MPID_ベルカ: Beruka
MPID_ラズワルド: Laslow
MPID_ピエリ: Peri
MPID_ブノワ: Benny
MPID_シャーロッテ: Charlotte
MPID_レオン: Leo
MPID_フランネル: Keaton
MPID_マークス: Xander
MPID_イザナ: Izana
MPID_ドラジェ: Candace
MPID_ユキムラ: Yukimura
MPID_フローラ: Flora
MPID_ナハト: Nichol
MPID_モズメ: Mozu
MPID_カンナ: Kana
MPID_シグレ: Shigure
MPID_ディーア: Dwyer
MPID_ゾフィー: Sophie
MPID_ミドリコ: Midori
MPID_シノノメ: Shiro
MPID_キサラギ: Kiragi
MPID_グレイ: Asugi
MPID_キヌ: Selkie
MPID_ヒサメ: Hisame
MPID_ミタマ: Mitama
MPID_マトイ: Caeldori
MPID_シャラ: Rhajat
MPID_ジークベルト: Siegbert
MPID_フォレオ: Forrest
MPID_イグニス: Ignatius
MPID_ベロア: Velouria
MPID_ルッツ: Percy
MPID_オフェリア: Ophelia
MPID_ソレイユ: Soleil
MPID_エポニーヌ: Nina
MPID_アンナ: Anna
MPID_フウガ: Fuga
MPID_ガンズ: Hans
MPID_マクベス: Iago
MPID_ガロン: Garon
MPID_コタロウ: Kotaro
MPID_ゾーラ: Zola
MPID_スメラギ: Sumeragi
MPID_シェンメイ: Arete
MPID_ミコト: Mikoto
MPID_ハイドラ: Anankos
